模块,数量,型号或来源,用途,归属
PoopSense 感知器结构件,1套,团队原型,承载传感器并适配使用场景,团队系统
ESP32 开发板,1,展机实际型号,多传感器读取、采集流程管理与串口传输,第三方开发板
BME688 气体传感器,1,Bosch BME688,气体响应及设备环境温湿度采样,第三方模块
APDS9960 接近传感器,1,Broadcom APDS9960,接近/在场检测及采集流程触发,第三方模块
MLX90640 热成像传感器,1,Melexis MLX90640,热阵列采集与形状特征输入,第三方模块
AS7341 颜色传感器,1,ams OSRAM AS7341,多通道颜色采样与颜色分类输入,第三方模块
传感器连接线及转接板,1套,展机实际规格,连接传感器与 ESP32,通用连接件
边缘计算电脑,1,MacBook 或等效设备,运行 Python Adapter、特征处理、分类与 JSON 封装,通用设备
ESP32 USB 数据线,1,展机实际规格,供电及 USB Serial 数据传输,通用连接件
Panthera-HT 机械臂,1,HighTorque Robotics,取杯、提起、安全运输和递水,第三方硬件
机械爪,1,Panthera 配套或展机实际型号,抓取和释放水杯,第三方硬件
Panthera 控制箱,1,Panthera 配套,关节控制与通信,第三方硬件
VBot 机器狗,1,展机实际型号,执行已录制的命名路线并运输水杯,第三方硬件
提醒机器人,1,展机实际型号,推水、语音和行动提醒,第三方硬件
机器人上位机,1,Windows + WSL,运行 PoopSense、SDK 与机器人 Tooling,通用设备
USB/CAN/通信线,若干,展机实际规格,机械臂与执行设备通信,通用连接件
电源及接线板,1套,展机实际规格,感知器、机械臂、VBot 与提醒机器人供电,通用设备
机械臂固定支架,1套,团队装配,将机械臂固定到 VBot,团队集成
测试水杯,1,普通水杯,取水和递水 Demo,演示物料
